trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.3, 'e': 0.10228420671553744}",20,14,10.832162583437603,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.3, 'e': 0.1002588437228037}",25,2,32.23815772969546,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.3, 'e': 0.09827358560436156}",20,7,10.066347885187078,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.3, 'e': 0.09632763823049303}",20,12,14.418235609245174,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.3, 'e': 0.09442022319630235}",20,13,1.6852568119762734,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.3, 'e': 0.09255057751034329}",30,15,15.1054150015195,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.3, 'e': 0.09071795328941251}",25,17,14.959918683575452,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.3, 'e': 0.08892161745938634}",20,10,18.719974528880993,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.3, 'e': 0.0871608514619813}",30,20,13.810049187746259,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.3, 'e': 0.08543495096732123}",30,6,37.218738421148345,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.3, 'e': 0.08374322559219596}",25,20,8.501452151754993,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.3, 'e': 0.0820849986238988}",20,6,28.168928634626248,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.3, 'e': 0.08045960674953243}",20,3,11.679867537069352,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.3, 'e': 0.07886639979067495}",20,8,15.65962080442717,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.3, 'e': 0.07730474044329974}",25,17,13.237108323470743,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.07577400402284548}",30,17,-7.85445855534405,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
130,False,"{'a': 0.3, 'e': 0.07427357821433388}",25,11,28.541120817143096,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.3, 'e': 0.07280286282743559}",35,24,19.42745376279148,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.3, 'e': 0.07136126955638605}",20,4,24.076617729459457,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.3, 'e': 0.06994822174465536}",30,13,20.1623043913262,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.3, 'e': 0.06856315415427791}",25,11,24.910943314028255,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.3, 'e': 0.06720551273974976}",20,9,20.514691632556946,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.06587475442640295}",20,5,13.309642448834438,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.3, 'e': 0.06457034689316847}",20,12,13.261349226800867,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.3, 'e': 0.0632917683596407}",25,19,10.254204627724091,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.3, 'e': 0.06203850737735829}",20,14,12.449497159976225,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.3, 'e': 0.060810062625217945}",20,11,4.290009507283594,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.3, 'e': 0.05960594270893936}",25,1,41.766630067094326,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.3, 'e': 0.05842566596450083}",30,15,27.565921906814033,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.3, 'e': 0.05726876026546735}",20,16,5.408698648469762,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.3, 'e': 0.056134762834133725}",20,10,19.931095419099552,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.3, 'e': 0.05502322005640723}",20,16,9.037348603160675,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.3, 'e': 0.05393368730035602}",20,8,-20.88805802862136,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.3, 'e': 0.05286572873835037}",25,17,10.399674501743817,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.3, 'e': 0.05181891717272583}",20,5,27.04213033204396,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.3, 'e': 0.0507928338648985}",25,18,12.66155484301299,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.3, 'e': 0.049787068367863944}",20,15,8.766431322367513,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.3, 'e': 0.04880121836201296}",25,7,32.47545030284183,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.3, 'e': 0.04783488949419836}",25,5,32.59531851846879,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.3, 'e': 0.046887695219988486}",25,13,24.217370260983078,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.3, 'e': 0.045959256649044204}",25,0,38.95082878092605,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.3, 'e': 0.0450492023935578}",20,14,13.323641407893835,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.3, 'e': 0.04415716841969287}",25,16,12.101420147047168,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.3, 'e': 0.043282797901965896}",20,15,8.62270089515731,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.3, 'e': 0.042425741080511385}",20,9,15.892713662505678,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.3, 'e': 0.04158565512117317}",30,16,18.661059074067865,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.3, 'e': 0.04076220397836621}",35,20,30.746973680734058,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.3, 'e': 0.039955058260653896}",25,8,30.774613187117126,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.3, 'e': 0.039163895098987066}",20,10,17.092127752191523,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.03838839801755206}",20,13,12.418265609444889,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.3, 'e': 0.0376282568071762}",20,8,24.403940310350315,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.3, 'e': 0.036883167401239994}",20,10,15.502391572073911,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.3, 'e': 0.03615283175404641}",30,21,19.807329899097844,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.3, 'e': 0.03543695772159864}",20,12,17.679254372306634,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.3, 'e': 0.03473525894473856}",30,19,24.422115932244566,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.3, 'e': 0.034047454734599344}",25,13,22.30769577344755,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.3, 'e': 0.03337326996032608}",20,8,10.4708761481637,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.3, 'e': 0.03271243493901982}",30,10,-0.7075346184459836,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.3, 'e': 0.032064685327860776}",20,8,13.809313397165406,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.3, 'e': 0.03142976201836771}",25,14,22.51614498485172,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.3, 'e': 0.03080741103275108}",20,7,20.6045321944014,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.3, 'e': 0.030197383422318504}",20,10,20.316054972262215,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.3, 'e': 0.029599435167891996}",25,19,10.919262849932426,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.3, 'e': 0.029013327082197053}",35,21,27.262825126745334,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.3, 'e': 0.028438824714184505}",30,15,28.753600912531407,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.3, 'e': 0.027875698255247015}",25,17,18.626029653712557,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.3, 'e': 0.02732372244729256}",20,13,14.769433992460286,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.3, 'e': 0.026782676492638175}",35,20,22.49975801851298,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.3, 'e': 0.02625234396568796}",25,13,20.17851817893187,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.3, 'e': 0.025732512726359943}",25,16,15.892055481227477,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.3, 'e': 0.02522297483522721}",20,13,1.6918468825327124,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
185,False,"{'a': 0.3, 'e': 0.024723526470339385}",30,14,9.789005254699612,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.3, 'e': 0.024233967845691113}",20,16,7.629166208969438,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.3, 'e': 0.023754103131304997}",30,19,21.05087609438113,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.3, 'e': 0.023283740374897}",25,18,13.044313143514163,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.3, 'e': 0.02282269142509297}",20,2,28.380483994052263,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.3, 'e': 0.02237077185616559}",20,15,6.607187331143758,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.3, 'e': 0.02192780089426161}",20,13,12.390637818242809,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.3, 'e': 0.021493601345089923}",25,16,-24.992414347068326,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
193,False,"{'a': 0.3, 'e': 0.021067999523041434}",30,22,16.053305297371594,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.3, 'e': 0.020650825181712566}",25,9,24.897698662363037,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.3, 'e': 0.02024191144580439}",25,16,21.96666763681267,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.3, 'e': 0.019841094744370288}",20,15,8.663076018140293,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,11,18.471929942072748,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,11,17.768981014384202,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,11,17.50550328741639,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,7,30.47609750115824,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,19.06099777946583,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,16,19.338136187316543,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,16.084803326892708,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,23,22.180235694206704,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,6,27.59483098074555,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,10,13.16101585230986,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,14,20.21337651028761,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",25,9,23.311510714464973,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,16,15.946364556837608,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",30,14,32.04543933323295,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,16,5.425752665779672,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",30,22,15.009900882764821,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,20,20.29484425221179,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,16,6.103886162377387,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,10,17.570576580912956,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,13,15.290408101277526,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
